rank,name,vote
1,大島優子,108837
2,渡辺麻友,72574
3,柏木由紀,71076
4,指原莉乃,67339
5,篠田麻里子,67017
6,高橋みなみ,65480
7,小嶋陽菜,54483
8,板野友美,50483
9,松井珠理奈,45747
10,松井玲奈,42030
11,宮澤佐江,40261
12,河西智美,27005
13,北原里英,26531
14,峯岸みなみ,26038
15,横山由依,25541
16,梅田彩佳,24522
17,高城亜樹,23083
18,山本彩,23020
19,渡辺美優紀,19159
20,秋元才加,19121
21,佐藤亜美菜,17009
22,倉持明日香,14852
23,島崎遥香,14633
24,高柳明音,14111
25,秦佐和子,13920
26,増田有華,13166
27,大矢真那,12142
28,矢神久美,11712
29,須田亜香里,11323
30,古川愛李,11179
31,木﨑ゆりあ,10554
32,小木曽汐莉,9596
33,岩佐美咲,9297
34,松村香織,9030
35,向田茉夏,8552
36,仲谷明香,8505
37,中田ちさと,8315
38,宮崎美穂,8173
39,永尾まりや,7809
40,藤江れいな,7782
41,小林香菜,7195
42,前田亜美,7168
43,福本愛菜,6912
44,仲川遥香,6890
45,田野優花,6694
46,山田菜々,6683
47,宮脇咲良,6635
48,片山陽加,6602
49,武藤十夢,6428
50,石田晴香,6333
51,菊地あやか,6185
52,多田愛佳,6140
53,松井咲子,6058
54,山内鈴蘭,6027
55,仁藤萌乃,6025
56,木本花音,5982
57,大場美奈,5969
58,市川美織,5963
59,大家志津香,5933
60,小笠原茉由,5919
61,佐藤すみれ,5706
62,矢方美紀,5606
63,中西優香,5592
64,小森美果,5398
